,Abstractionism,Art Nouveau,Baroque,Byzantine Art,Cubism,Expressionism,Impressionism,Mannerism,Muralism,Neoplasticism,Pop Art,Primitivism,Realism,Renaissance,Romanticism,Suprematism,Surrealism,Symbolism
abstract_forms,0.681173697085708,0.4339926343927473,-0.6962611755336503,0.14885514918786924,0.7236431509689291,0.7615198779825388,-0.10704137471698326,-0.6210464938736517,0.2639666462801325,0.580419006502452,0.6624803682917207,0.7750138915024171,-0.792159082080976,-0.5150278346454062,-0.8061202425859957,0.6954928077470214,0.6512557403388689,0.2811019976416204
angular_fragmentation,0.7903183015434356,0.3152664973085542,-0.47461658631331,0.25120205343256535,0.8132078700880788,0.7985921948884585,-0.3446095096827376,-0.44429362538346767,0.25587954052014356,0.5612482348041861,0.5697719016493605,0.7676652312864926,-0.6924686755773214,-0.38387443067884736,-0.5871773030455327,0.7551442562814038,0.7742670228901616,0.04350013623793047
architectural_precision,0.04407003553855992,-0.3492762626411815,0.08203104977720715,0.20774182183885287,-0.14598374800443165,-0.13130942850566862,-0.4897562783418753,0.2732520942073959,0.16307692619951783,-0.008794393119582635,-0.11200028139343723,0.06310535327904195,0.05475258523615035,0.5863320669272125,-0.15008988181362248,0.03349560395216556,0.3091077966309879,-0.5533846759681385
atmospheric_perspective,-0.6216272632999902,-0.4174627283740091,0.17919823978327773,-0.5396293738106257,-0.8316673060946881,-0.7366248591122981,0.46720338820334356,0.1382486082531082,-0.5210157650288991,-0.36390605656429126,-0.5995766338703832,-0.5255516873188139,0.2646653881120563,0.16878289697938106,0.36529319936524357,-0.6305466941636938,-0.3995098715100695,-0.11547672493713548
bold_outlines,0.6183188660720949,0.4550067461821515,-0.6056011053238167,0.4407602885596454,0.8171543721566762,0.7587048308655783,-0.33024446844615424,-0.4841671354494059,0.44667765037624124,0.4396199706798766,0.5950547770190162,0.6642528850728663,-0.6078176403805059,-0.2883891909624514,-0.7539725886261128,0.6411964934632394,0.5438942559456525,0.2893800141885509
broken_sketchy_lines,-0.1375797515145275,0.20533786664689058,-0.39912485291328353,-0.4942032321137332,0.031565645304852626,-0.0004947266194468381,0.796036551364349,-0.5580570956030619,-0.5604664601333572,-0.1849716942923364,-0.2195796278338439,-0.27140651588555104,-0.3685745488269082,-0.723056041660059,0.04947922708734719,-0.16586842118127879,-0.42310575325868066,0.7034549866146478
calm_serene_mood,-0.37892085259329344,-0.029620256507936756,-0.06491277371934409,-0.25117692821292226,-0.43449724913975424,-0.38280560753917003,0.4082075651545038,0.017495309098089502,-0.24586457609937729,-0.15524285238368332,-0.4251972554855354,-0.40084635363160404,0.14738822633832335,0.06161816043041279,-0.08743294766817598,-0.3382940327326922,-0.2280778330613312,0.08900008252985826
chiaroscuro,-0.391846128254969,-0.549389402202182,0.7716338914343811,0.004222714437855533,-0.3431577605124755,-0.43271733249380695,-0.3319084421390692,0.7026439222546309,-0.17814054232619916,-0.5749236792217293,-0.3845417534522869,-0.47215253543481805,0.5541244730002234,0.5822131528337129,0.6952335985657903,-0.4472989806888936,-0.41653846073130646,-0.46340770151568667
compressed_space,0.3757614458027938,0.421819548362202,-0.20489366446943272,0.1946129410480648,0.5565298079448998,0.47606948807031957,0.07037622206548273,-0.3661873390820936,0.05482646822645012,0.2036038733856627,0.13504140182252158,0.12897343751439244,-0.37110146052194926,-0.47605613458691876,-0.10251185087182388,0.3602595134464423,0.11979094547802298,0.41868243278651285
delicate_precise_lines,-0.07549152014987025,-0.5543720360967829,0.36857862070511643,0.2638854327579422,-0.19758274757900302,-0.25789333036627504,-0.6803320866752377,0.5256931985874032,0.24636261475748206,-0.06126866705348471,-0.05352017484765603,0.09520685680976154,0.3081031083052507,0.7175176910663383,0.19142281106422201,-0.05084620167189629,0.3032276908937275,-0.793213116323131
